day	avg_score_day	colors_day
2025-03-10	4.5	yellow
2025-03-11	4.67	yellow
2025-03-12	4.5	yellow
2025-03-13	4.33	yellow
2025-03-14	3.0	yellow
2025-03-15	2.83	red
2025-03-16	1.5	red
2025-03-17	2.33	red
2025-03-18	2.6	red
2025-03-19	4.25	yellow
2025-03-20	3.0	yellow
2025-03-21	4.4	yellow
2025-03-22	4.0	yellow
2025-03-23	4.83	yellow
2025-03-24	5.5	green
2025-03-25	5.5	green
2025-03-26	5.33	green
2025-03-27	5.0	green
2025-03-28	4.0	yellow
2025-03-29	4.67	yellow
2025-03-30	4.17	yellow
2025-03-31	4.83	yellow
2025-04-01	5.17	green
2025-04-02	4.67	yellow
2025-04-03	3.83	yellow
2025-04-04	5.17	green
2025-04-05	4.17	yellow
2025-04-06	5.67	green
2025-04-07	4.67	yellow
2025-04-08	5.33	green
2025-04-09	4.83	yellow
2025-04-10	5.0	green
2025-04-11	5.0	green
2025-04-12	5.67	green
2025-04-13	5.83	green
2025-04-14	6.0	green
2025-04-17	4.5	yellow
2025-04-18	4.0	yellow
2025-04-19	3.5	yellow
2025-04-20	4.5	yellow
2025-04-21	4.75	yellow
2025-04-22	4.5	yellow
